,Corners,Fouls Committed,Fouls Wons,Goals,Offsides,Pass Completion,Possesion,Red Cards,Shot Attempts,Shots Blocked,Total Passes,Total Shots on Target,Total xG,Under Pressure,Yellow Cards,fh_winner,target
207,0.0,-7.0,6.0,1.0,0.0,-0.136,-0.40399999999999997,0.0,-2.0,-3.0,-240.0,1.0,0.16332983799999998,-0.02999999999999997,0.0,1,0
208,4.0,-3.0,2.0,-1.0,0.0,0.266,0.5720000000000001,0.0,2.0,1.0,287.0,0.0,-0.19009293000000005,-0.06799999999999998,-2.0,2,1
209,-1.0,4.0,-4.0,1.0,1.0,-0.22099999999999997,-0.44799999999999995,0.0,5.0,2.0,-250.0,0.0,0.757409036,0.161,0.0,1,2
210,-1.0,-3.0,2.0,0.0,0.0,0.05400000000000005,0.29800000000000004,0.0,1.0,2.0,155.0,-1.0,0.08554293700000004,-0.186,-1.0,0,1
211,1.0,0.0,1.0,-1.0,-1.0,-0.17799999999999994,-0.338,0.0,4.0,1.0,-170.0,2.0,-0.5367836479999999,0.15100000000000002,-1.0,2,2
212,-6.0,3.0,-4.0,0.0,1.0,-0.276,-0.5840000000000001,0.0,-7.0,-1.0,-287.0,-6.0,-1.0122491120000001,0.26,-1.0,0,2
213,4.0,-1.0,-1.0,2.0,1.0,0.11699999999999999,0.29800000000000004,0.0,10.0,3.0,164.0,5.0,2.513312954,-0.281,-1.0,1,1
214,2.0,-1.0,2.0,1.0,-1.0,-0.029000000000000026,-0.07800000000000001,0.0,4.0,0.0,-42.0,3.0,-0.3153571300000001,-0.16999999999999998,0.0,1,2
215,1.0,-1.0,-1.0,0.0,2.0,-0.06799999999999995,-0.16199999999999998,0.0,-1.0,-2.0,-82.0,1.0,1.245602868,-0.05499999999999999,0.0,0,0
216,-1.0,1.0,-2.0,0.0,0.0,-0.029999999999999916,0.050000000000000044,0.0,5.0,2.0,25.0,0.0,0.46319415799999997,0.013999999999999999,-1.0,0,2
217,-2.0,9.0,-9.0,0.0,-1.0,-0.279,-0.5780000000000001,0.0,-9.0,1.0,-307.0,-3.0,-1.816915083,-0.008000000000000007,1.0,0,2
218,0.0,-1.0,0.0,0.0,3.0,-0.038000000000000034,-0.16399999999999998,0.0,2.0,-1.0,-92.0,6.0,0.1779418319999999,-0.132,0.0,0,2
